tag,aega_on,aega_min,aega_max,aega_step,pc,pm_high,pm_low,sbx_eta_rw,pm_eta_rw,hv,igd,wall_s,cpu_s
aega_off_ref,0,,,,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.883,0.882
aega_120_220_10,1,120,220,10,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.895,0.893
aega_120_220_20,1,120,220,20,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.901,0.898
aega_120_220_30,1,120,220,30,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.970,0.927
aega_120_220_40,1,120,220,40,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.911,0.907
aega_120_240_10,1,120,240,10,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.921,0.915
aega_120_240_20,1,120,240,20,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.913,0.902
aega_120_240_30,1,120,240,30,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.908,0.905
aega_120_240_40,1,120,240,40,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.983,0.926
aega_120_260_10,1,120,260,10,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.895,0.892
aega_120_260_20,1,120,260,20,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.898,0.894
aega_120_260_30,1,120,260,30,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.902,0.898
aega_120_260_40,1,120,260,40,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.957,0.932
aega_120_280_10,1,120,280,10,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.908,0.903
aega_120_280_20,1,120,280,20,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.903,0.898
aega_120_280_30,1,120,280,30,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.965,0.936
aega_120_280_40,1,120,280,40,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.905,0.901
aega_120_300_10,1,120,300,10,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.960,0.925
aega_120_300_20,1,120,300,20,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.907,0.903
aega_120_300_30,1,120,300,30,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.955,0.931
aega_120_300_40,1,120,300,40,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.909,0.904
aega_120_320_10,1,120,320,10,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.908,0.903
aega_120_320_20,1,120,320,20,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.922,0.917
aega_120_320_30,1,120,320,30,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.907,0.903
aega_120_320_40,1,120,320,40,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.975,0.945
aega_140_220_10,1,140,220,10,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.942,0.931
aega_140_220_20,1,140,220,20,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.962,0.932
aega_140_220_30,1,140,220,30,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.912,0.907
aega_140_220_40,1,140,220,40,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.954,0.932
aega_140_240_10,1,140,240,10,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.906,0.901
aega_140_240_20,1,140,240,20,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.925,0.919
aega_140_240_30,1,140,240,30,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.971,0.941
aega_140_240_40,1,140,240,40,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.920,0.915
aega_140_260_10,1,140,260,10,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.963,0.933
aega_140_260_20,1,140,260,20,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.904,0.900
aega_140_260_30,1,140,260,30,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.926,0.918
aega_140_260_40,1,140,260,40,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.963,0.935
aega_140_280_10,1,140,280,10,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.904,0.900
aega_140_280_20,1,140,280,20,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.961,0.920
aega_140_280_30,1,140,280,30,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.904,0.900
aega_140_280_40,1,140,280,40,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.965,0.927
aega_140_300_10,1,140,300,10,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.910,0.905
aega_140_300_20,1,140,300,20,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.904,0.900
aega_140_300_30,1,140,300,30,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.955,0.929
aega_140_300_40,1,140,300,40,0.95,0.45,0.10,2.0,5,0.839375,0.172769,1.012,0.952
aega_140_320_10,1,140,320,10,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.992,0.947
aega_140_320_20,1,140,320,20,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.920,0.912
aega_140_320_30,1,140,320,30,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.949,0.927
aega_140_320_40,1,140,320,40,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.905,0.900
aega_160_220_10,1,160,220,10,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.950,0.928
aega_160_220_20,1,160,220,20,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.908,0.904
aega_160_220_30,1,160,220,30,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.952,0.931
aega_160_220_40,1,160,220,40,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.907,0.903
aega_160_240_10,1,160,240,10,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.930,0.919
aega_160_240_20,1,160,240,20,0.95,0.45,0.10,2.0,5,0.839375,0.172769,1.000,0.959
aega_160_240_30,1,160,240,30,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.929,0.920
aega_160_240_40,1,160,240,40,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.957,0.934
aega_160_260_10,1,160,260,10,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.937,0.924
aega_160_260_20,1,160,260,20,0.95,0.45,0.10,2.0,5,0.839375,0.172769,1.110,0.971
aega_160_260_30,1,160,260,30,0.95,0.45,0.10,2.0,5,0.839375,0.172769,1.040,0.976
aega_160_260_40,1,160,260,40,0.95,0.45,0.10,2.0,5,0.839375,0.172769,1.002,0.960
aega_160_280_10,1,160,280,10,0.95,0.45,0.10,2.0,5,0.839375,0.172769,1.011,0.951
aega_160_280_20,1,160,280,20,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.924,0.914
aega_160_280_30,1,160,280,30,0.95,0.45,0.10,2.0,5,0.839375,0.172769,1.044,0.948
aega_160_280_40,1,160,280,40,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.936,0.924
aega_160_300_10,1,160,300,10,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.956,0.935
aega_160_300_20,1,160,300,20,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.915,0.909
aega_160_300_30,1,160,300,30,0.95,0.45,0.10,2.0,5,0.839375,0.172769,1.047,0.946
aega_160_300_40,1,160,300,40,0.95,0.45,0.10,2.0,5,0.839375,0.172769,1.050,0.960
aega_160_320_10,1,160,320,10,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.924,0.917
aega_160_320_20,1,160,320,20,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.952,0.925
aega_160_320_30,1,160,320,30,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.909,0.904
aega_160_320_40,1,160,320,40,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.912,0.907
aega_180_220_10,1,180,220,10,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.934,0.924
aega_180_220_20,1,180,220,20,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.942,0.931
aega_180_220_30,1,180,220,30,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.962,0.925
aega_180_220_40,1,180,220,40,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.904,0.899
aega_180_240_10,1,180,240,10,0.95,0.45,0.10,2.0,5,0.839375,0.172769,1.178,0.955
aega_180_240_20,1,180,240,20,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.911,0.906
aega_180_240_30,1,180,240,30,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.947,0.918
aega_180_240_40,1,180,240,40,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.901,0.897
aega_180_260_10,1,180,260,10,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.904,0.899
aega_180_260_20,1,180,260,20,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.962,0.938
aega_180_260_30,1,180,260,30,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.959,0.942
aega_180_260_40,1,180,260,40,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.972,0.946
aega_180_280_10,1,180,280,10,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.899,0.895
aega_180_280_20,1,180,280,20,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.904,0.900
aega_180_280_30,1,180,280,30,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.944,0.924
