tag,aega_min,aega_max,aega_step,pc,pm_high,pm_low,sbx_eta_rw,pm_eta_rw,hv,igd,wall_s,cpu_s
aega_180_260_20_pc0.90_pm0.40_0.08_rw1.5_3,180,260,20,0.90,0.40,0.08,1.5,3,0.305908,0.509960,1.946,1.040
aega_180_260_20_pc0.90_pm0.40_0.08_rw1.5_5,180,260,20,0.90,0.40,0.08,1.5,5,0.239091,0.632391,1.877,1.170
aega_180_260_20_pc0.90_pm0.40_0.08_rw1.5_8,180,260,20,0.90,0.40,0.08,1.5,8,0.000000,1.155243,1.929,1.098
aega_180_260_20_pc0.90_pm0.40_0.08_rw2.0_3,180,260,20,0.90,0.40,0.08,2.0,3,0.270236,0.526663,1.733,1.081
aega_180_260_20_pc0.90_pm0.40_0.08_rw2.0_5,180,260,20,0.90,0.40,0.08,2.0,5,0.703033,0.222842,2.143,1.240
aega_180_260_20_pc0.90_pm0.40_0.08_rw2.0_8,180,260,20,0.90,0.40,0.08,2.0,8,0.554989,0.356157,2.558,1.233
aega_180_260_20_pc0.90_pm0.40_0.08_rw2.5_3,180,260,20,0.90,0.40,0.08,2.5,3,0.703277,0.222436,2.530,1.316
aega_180_260_20_pc0.90_pm0.40_0.08_rw2.5_5,180,260,20,0.90,0.40,0.08,2.5,5,0.365765,0.471653,2.405,1.246
aega_180_260_20_pc0.90_pm0.40_0.08_rw2.5_8,180,260,20,0.90,0.40,0.08,2.5,8,0.218902,0.626113,2.027,1.158
aega_180_260_20_pc0.90_pm0.40_0.08_rw3.0_3,180,260,20,0.90,0.40,0.08,3.0,3,0.240777,0.609587,2.431,1.265
aega_180_260_20_pc0.90_pm0.40_0.08_rw3.0_5,180,260,20,0.90,0.40,0.08,3.0,5,0.556995,0.354411,2.624,1.278
aega_180_260_20_pc0.90_pm0.40_0.08_rw3.0_8,180,260,20,0.90,0.40,0.08,3.0,8,0.702829,0.223206,2.557,1.224
aega_180_260_20_pc0.90_pm0.40_0.10_rw1.5_3,180,260,20,0.90,0.40,0.10,1.5,3,0.528101,0.315454,2.940,1.301
aega_180_260_20_pc0.90_pm0.40_0.10_rw1.5_5,180,260,20,0.90,0.40,0.10,1.5,5,0.078367,0.663043,2.618,1.157
aega_180_260_20_pc0.90_pm0.40_0.10_rw1.5_8,180,260,20,0.90,0.40,0.10,1.5,8,0.559187,0.353109,1.256,0.976
aega_180_260_20_pc0.90_pm0.40_0.10_rw2.0_3,180,260,20,0.90,0.40,0.10,2.0,3,0.494661,0.376419,1.114,0.921
aega_180_260_20_pc0.90_pm0.40_0.10_rw2.0_5,180,260,20,0.90,0.40,0.10,2.0,5,0.702881,0.222411,0.986,0.865
aega_180_260_20_pc0.90_pm0.40_0.10_rw2.0_8,180,260,20,0.90,0.40,0.10,2.0,8,0.676442,0.233897,3.022,1.267
aega_180_260_20_pc0.90_pm0.40_0.10_rw2.5_3,180,260,20,0.90,0.40,0.10,2.5,3,0.703442,0.222384,2.752,1.221
aega_180_260_20_pc0.90_pm0.40_0.10_rw2.5_5,180,260,20,0.90,0.40,0.10,2.5,5,0.326023,0.493039,2.238,1.138
aega_180_260_20_pc0.90_pm0.40_0.10_rw2.5_8,180,260,20,0.90,0.40,0.10,2.5,8,0.225145,0.644334,2.417,1.100
aega_180_260_20_pc0.90_pm0.40_0.10_rw3.0_3,180,260,20,0.90,0.40,0.10,3.0,3,0.211084,0.635425,2.135,1.053
aega_180_260_20_pc0.90_pm0.40_0.10_rw3.0_5,180,260,20,0.90,0.40,0.10,3.0,5,0.563814,0.346973,1.253,0.953
aega_180_260_20_pc0.90_pm0.40_0.10_rw3.0_8,180,260,20,0.90,0.40,0.10,3.0,8,0.702505,0.222598,0.988,0.878
aega_180_260_20_pc0.90_pm0.45_0.08_rw1.5_3,180,260,20,0.90,0.45,0.08,1.5,3,0.267202,0.577835,0.788,0.714
aega_180_260_20_pc0.90_pm0.45_0.08_rw1.5_5,180,260,20,0.90,0.45,0.08,1.5,5,0.560511,0.350326,1.110,0.785
aega_180_260_20_pc0.90_pm0.45_0.08_rw1.5_8,180,260,20,0.90,0.45,0.08,1.5,8,0.559685,0.349504,1.181,0.902
aega_180_260_20_pc0.90_pm0.45_0.08_rw2.0_3,180,260,20,0.90,0.45,0.08,2.0,3,0.702816,0.222793,0.958,0.796
aega_180_260_20_pc0.90_pm0.45_0.08_rw2.0_5,180,260,20,0.90,0.45,0.08,2.0,5,0.617098,0.255568,1.333,0.909
aega_180_260_20_pc0.90_pm0.45_0.08_rw2.0_8,180,260,20,0.90,0.45,0.08,2.0,8,0.501111,0.372918,1.071,0.838
aega_180_260_20_pc0.90_pm0.45_0.08_rw2.5_3,180,260,20,0.90,0.45,0.08,2.5,3,0.166059,0.695322,1.058,0.818
aega_180_260_20_pc0.90_pm0.45_0.08_rw2.5_5,180,260,20,0.90,0.45,0.08,2.5,5,0.391220,0.471649,1.438,0.954
aega_180_260_20_pc0.90_pm0.45_0.08_rw2.5_8,180,260,20,0.90,0.45,0.08,2.5,8,0.690194,0.224049,1.929,0.978
aega_180_260_20_pc0.90_pm0.45_0.08_rw3.0_3,180,260,20,0.90,0.45,0.08,3.0,3,0.564414,0.347307,1.052,0.863
aega_180_260_20_pc0.90_pm0.45_0.08_rw3.0_5,180,260,20,0.90,0.45,0.08,3.0,5,0.588921,0.304870,0.865,0.771
aega_180_260_20_pc0.90_pm0.45_0.08_rw3.0_8,180,260,20,0.90,0.45,0.08,3.0,8,0.191465,0.660772,0.906,0.738
aega_180_260_20_pc0.90_pm0.45_0.10_rw1.5_3,180,260,20,0.90,0.45,0.10,1.5,3,0.376982,0.492320,0.825,0.745
aega_180_260_20_pc0.90_pm0.45_0.10_rw1.5_5,180,260,20,0.90,0.45,0.10,1.5,5,0.206223,0.641410,1.171,0.850
aega_180_260_20_pc0.90_pm0.45_0.10_rw1.5_8,180,260,20,0.90,0.45,0.10,1.5,8,0.560501,0.349917,1.176,0.892
aega_180_260_20_pc0.90_pm0.45_0.10_rw2.0_3,180,260,20,0.90,0.45,0.10,2.0,3,0.702517,0.222485,1.431,0.911
aega_180_260_20_pc0.90_pm0.45_0.10_rw2.0_5,180,260,20,0.90,0.45,0.10,2.0,5,0.173874,0.710953,1.140,0.848
aega_180_260_20_pc0.90_pm0.45_0.10_rw2.0_8,180,260,20,0.90,0.45,0.10,2.0,8,0.557291,0.351808,1.405,1.062
aega_180_260_20_pc0.90_pm0.45_0.10_rw2.5_3,180,260,20,0.90,0.45,0.10,2.5,3,0.557292,0.351810,1.564,1.071
aega_180_260_20_pc0.90_pm0.45_0.10_rw2.5_5,180,260,20,0.90,0.45,0.10,2.5,5,0.705103,0.221522,1.389,0.972
aega_180_260_20_pc0.90_pm0.45_0.10_rw2.5_8,180,260,20,0.90,0.45,0.10,2.5,8,0.700079,0.223876,1.092,0.918
aega_180_260_20_pc0.90_pm0.45_0.10_rw3.0_3,180,260,20,0.90,0.45,0.10,3.0,3,0.703093,0.222857,1.847,1.081
aega_180_260_20_pc0.90_pm0.45_0.10_rw3.0_5,180,260,20,0.90,0.45,0.10,3.0,5,0.564123,0.347636,1.427,1.126
aega_180_260_20_pc0.90_pm0.45_0.10_rw3.0_8,180,260,20,0.90,0.45,0.10,3.0,8,0.305069,0.526981,1.150,0.928
aega_180_260_20_pc0.90_pm0.50_0.08_rw1.5_3,180,260,20,0.90,0.50,0.08,1.5,3,0.234873,0.620497,1.628,0.968
aega_180_260_20_pc0.90_pm0.50_0.08_rw1.5_5,180,260,20,0.90,0.50,0.08,1.5,5,0.244754,0.625723,1.658,0.961
aega_180_260_20_pc0.90_pm0.50_0.08_rw1.5_8,180,260,20,0.90,0.50,0.08,1.5,8,0.123530,0.755945,1.271,0.939
