tag,aega_min,aega_max,aega_step,pc,pm_high,pm_low,hv,igd,wall_s,cpu_s
aega_220_280_10_pc0.85_pm0.35_0.08,220,280,10,0.85,0.35,0.08,0.851778,0.167436,0.944,0.943
aega_220_280_10_pc0.85_pm0.35_0.10,220,280,10,0.85,0.35,0.10,0.850019,0.167927,0.942,0.942
aega_220_280_10_pc0.85_pm0.35_0.12,220,280,10,0.85,0.35,0.12,0.864285,0.161063,0.946,0.946
aega_220_280_10_pc0.85_pm0.40_0.08,220,280,10,0.85,0.40,0.08,0.886226,0.149369,0.956,0.955
aega_220_280_10_pc0.85_pm0.40_0.10,220,280,10,0.85,0.40,0.10,0.828623,0.178371,0.945,0.944
aega_220_280_10_pc0.85_pm0.40_0.12,220,280,10,0.85,0.40,0.12,0.838695,0.176665,0.930,0.929
aega_220_280_10_pc0.85_pm0.45_0.08,220,280,10,0.85,0.45,0.08,0.902271,0.140767,0.942,0.942
aega_220_280_10_pc0.85_pm0.45_0.10,220,280,10,0.85,0.45,0.10,0.861679,0.158942,0.933,0.933
aega_220_280_10_pc0.85_pm0.45_0.12,220,280,10,0.85,0.45,0.12,0.864071,0.114464,0.945,0.945
aega_220_280_10_pc0.90_pm0.35_0.08,220,280,10,0.90,0.35,0.08,0.856975,0.163249,0.959,0.959
aega_220_280_10_pc0.90_pm0.35_0.10,220,280,10,0.90,0.35,0.10,0.876777,0.154730,0.954,0.953
aega_220_280_10_pc0.90_pm0.35_0.12,220,280,10,0.90,0.35,0.12,0.862152,0.160693,0.950,0.950
aega_220_280_10_pc0.90_pm0.40_0.08,220,280,10,0.90,0.40,0.08,0.886753,0.149309,0.959,0.958
aega_220_280_10_pc0.90_pm0.40_0.10,220,280,10,0.90,0.40,0.10,0.800365,0.195877,0.963,0.963
aega_220_280_10_pc0.90_pm0.40_0.12,220,280,10,0.90,0.40,0.12,0.865052,0.160454,0.970,0.969
aega_220_280_10_pc0.90_pm0.45_0.08,220,280,10,0.90,0.45,0.08,0.837593,0.088233,0.964,0.964
aega_220_280_10_pc0.90_pm0.45_0.10,220,280,10,0.90,0.45,0.10,0.884403,0.150157,0.950,0.950
aega_220_280_10_pc0.90_pm0.45_0.12,220,280,10,0.90,0.45,0.12,0.864926,0.160861,0.964,0.963
aega_220_280_10_pc0.95_pm0.35_0.08,220,280,10,0.95,0.35,0.08,0.883330,0.151190,0.994,0.990
aega_220_280_10_pc0.95_pm0.35_0.10,220,280,10,0.95,0.35,0.10,0.881106,0.152212,0.963,0.962
aega_220_280_10_pc0.95_pm0.35_0.12,220,280,10,0.95,0.35,0.12,0.903347,0.079918,0.984,0.981
aega_220_280_10_pc0.95_pm0.40_0.08,220,280,10,0.95,0.40,0.08,0.856161,0.164529,0.938,0.938
aega_220_280_10_pc0.95_pm0.40_0.10,220,280,10,0.95,0.40,0.10,0.867664,0.159394,0.981,0.981
aega_220_280_10_pc0.95_pm0.40_0.12,220,280,10,0.95,0.40,0.12,0.886656,0.149127,0.982,0.982
aega_220_280_10_pc0.95_pm0.45_0.08,220,280,10,0.95,0.45,0.08,0.887330,0.095377,0.986,0.986
aega_220_280_10_pc0.95_pm0.45_0.10,220,280,10,0.95,0.45,0.10,0.877431,0.079701,0.989,0.989
aega_220_280_10_pc0.95_pm0.45_0.12,220,280,10,0.95,0.45,0.12,0.901345,0.084112,0.994,0.994
