instance,n_nodes,algorithm,n_runs,pareto_combined,pareto_mean,pareto_std,HV_mean,HV_std,IGDplus_mean,IGDplus_std,runtime_s_mean,runtime_s_std,cpu_time_s_mean,cpu_time_s_std
AP10,10,BB-Exact,1,4,5.0,0.0,0.988682,0.000000,0.143334,0.000000,0.03,0.00,N/A,N/A
AP10,10,PB-NSGA,20,2,182.2,55.2,1.110966,0.068573,0.065858,0.046537,1.41,0.05,N/A,N/A
cv_small,?,BB-Exact,1,3,4.0,0.0,1.177438,0.000000,0.016130,0.000000,0.17,0.00,N/A,N/A
cv_small,?,PB-NSGA,1,7,38.0,0.0,1.205632,0.000000,0.000000,0.000000,2.22,0.00,2.22,0.00
cv_small,?,MILP-Exact,1,10,777.0,0.0,0.178728,0.000000,0.908702,0.000000,208.86,0.00,206.39,0.00
AP20,20,BB-Exact,1,4,5.0,0.0,0.342784,0.000000,0.606515,0.000000,0.09,0.00,N/A,N/A
AP20,20,PB-NSGA,20,6,76.5,93.6,1.070003,0.099127,0.106201,0.084960,1.63,0.07,N/A,N/A
AP25,25,BB-Exact,1,6,17.0,0.0,1.099447,0.000000,0.089680,0.000000,0.22,0.00,N/A,N/A
AP25,25,PB-NSGA,20,8,74.8,88.1,1.206310,0.001373,0.002802,0.001663,1.88,0.11,N/A,N/A
AP40,40,BB-Exact,1,4,4.0,0.0,1.167574,0.000000,0.028747,0.000000,3.32,0.00,N/A,N/A
AP40,40,PB-NSGA,20,12,22.8,45.2,1.193896,0.015132,0.011401,0.012526,2.45,0.18,N/A,N/A
AP50,50,PB-NSGA,20,23,88.5,78.1,1.161596,0.034295,0.060860,0.042184,2.88,0.19,N/A,N/A
AP100,100,PB-NSGA,20,19,32.3,31.6,1.104222,0.037603,0.076970,0.029631,6.05,0.52,N/A,N/A
TR81,81,BB-Exact,1,12,14.0,0.0,1.175584,0.000000,0.000000,0.000000,177.95,0.00,N/A,N/A
TR81,81,PB-NSGA,20,0,0.0,0.0,0.000000,0.000000,inf,nan,1.47,0.14,N/A,N/A
