dataset,algorithm,Z1,Z2,is_combined_nd
CV-large,PB-NSGA,4319131.164895,46550.884918,1
CV-large,PB-NSGA,4329771.592781,43453.288553,1
CV-large,PB-NSGA,4348396.646089,43437.857859,1
CV-large,PB-NSGA,4502911.581264,41041.886574,1
CV-large,PB-NSGA,5187002.138073,40600.391707,1
CV-large,PB-NSGA,5329412.146463,40584.961013,1
CV-large,VNS-TS,12589619.853708,159103.368829,0
CV-large,VNS-TS,12732937.505996,144148.990150,0
CV-large,VNS-TS,12784362.989740,111025.876914,0
CV-large,VNS-TS,12807975.877299,100825.281585,0
CV-large,VNS-TS,12825313.981772,90422.418175,0
CV-large,VNS-TS,12876546.219204,89731.034491,0
CV-large,VNS-TS,12900537.557686,89666.936490,0
CV-large,VNS-TS,12981799.233245,79936.224910,0
CV-large,VNS-TS,13090285.312986,75300.945737,0
CV-large,VNS-TS,13786595.092665,67949.388180,0
CV-large,VNS-TS,13920560.134747,62622.725323,0
CV-large,VNS-TS,16660151.151168,61890.889485,0
CV-large,VNS-TS,16820315.243856,61168.631897,0
CV-large,VNS-TS,17026844.928312,60405.164343,0
CV-large,VNS-TS,17780177.597002,60146.690593,0
CV-large,VNS-TS,18084288.858757,60067.451262,0
CV-large,VNS-TS,18119694.949053,59921.871000,0
CV-large,VNS-TS,18271246.355304,59741.249933,0
CV-large,VNS-TS,18557812.449592,50927.625826,0
CV-large,VNS-TS,23465217.895234,49950.382871,0
CV-large,VNS-TS,47863505.760581,49796.219153,0
CV-small,PB-NSGA,1350542.575628,97631.381569,
CV-small,PB-NSGA,1383363.306691,89653.260760,
CV-small,PB-NSGA,1598625.038706,81557.596844,
CV-small,PB-NSGA,1625919.732954,80515.622453,
CV-small,PB-NSGA,1642671.062913,80462.979925,
CV-small,PB-NSGA,1661039.180231,79665.038734,
CV-small,PB-NSGA,1701056.110110,79060.668005,
CV-small,PB-NSGA,2219944.144623,78812.216492,
CV-small,PB-NSGA,2628747.799763,78627.158526,
CV-small,VNS-TS,6331238.583625,79398.805688,
CV-small,True Pareto (MILP),1306001.805890,89653.260648,
CV-small,True Pareto (MILP),1517820.408715,79060.668005,
CV-small,True Pareto (MILP),2029163.309115,78812.216492,
CV-small,True Pareto (MILP),2419431.702198,78627.158526,
