experiment,instance,algorithm,n_runs,pareto_combined,pareto_mean,pareto_std,HV_mean,HV_std,IGDplus_mean,IGDplus_std,runtime_s_mean,runtime_s_std,igd_ref
Exp1-Benchmark,AP10,BB-Exact,1,5,6.0,0.0,1.113788,0.000000,0.079796,0.000000,0.03,0.00,BB+PB-NSGA combined
Exp1-Benchmark,AP10,PB-NSGA-II,4,2,3.2,1.5,1.187232,0.030480,0.017816,0.025116,N/A,N/A,BB+PB-NSGA combined
Exp1-Benchmark,AP20,BB-Exact,1,5,5.0,0.0,0.977838,0.000000,0.175033,0.000000,0.12,0.00,BB+PB-NSGA combined
Exp1-Benchmark,AP20,PB-NSGA-II,4,7,5.5,0.6,1.173716,0.033878,0.018278,0.031020,N/A,N/A,BB+PB-NSGA combined
Exp1-Benchmark,AP25,BB-Exact,1,6,6.0,0.0,1.078118,0.000000,0.163230,0.000000,0.37,0.00,BB+PB-NSGA combined
Exp1-Benchmark,AP25,PB-NSGA-II,4,7,5.2,2.1,1.015801,0.126813,0.157682,0.105186,N/A,N/A,BB+PB-NSGA combined
Exp1-Benchmark,AP40,BB-Exact,1,6,6.0,0.0,1.184452,0.000000,0.010066,0.000000,5.09,0.00,BB+PB-NSGA combined
Exp1-Benchmark,AP40,PB-NSGA-II,4,8,4.0,1.2,1.173301,0.019229,0.021098,0.012541,N/A,N/A,BB+PB-NSGA combined
Exp1-Benchmark,AP50,PB-NSGA-II,4,12,11.2,4.5,0.888044,0.076378,0.116599,0.101345,N/A,N/A,PB-NSGA-II combined
Exp1-Benchmark,AP100,PB-NSGA-II,4,11,10.8,2.5,0.952291,0.081731,0.075745,0.052545,N/A,N/A,PB-NSGA-II combined
Exp1-Benchmark,TR81,BB-Exact,1,9,9.0,0.0,1.121254,0.000000,0.073241,0.000000,19.15,0.00,BB+PB-NSGA combined
Exp1-Benchmark,TR81,PB-NSGA-II,4,18,12.0,4.9,0.891062,0.580886,0.339383,0.646268,N/A,N/A,BB+PB-NSGA combined
