idx,wolves,iter,fracA_start,fracX_start,accept_worse,stagnation_limit,keep_ratio,hv,igd_plus,wall
121,30,560,0.45,0.35,0.03,20,0.45,0.0,4.041227,1.061
65,30,420,0.35,0.25,0.03,20,0.45,0.0,4.046636,0.756
2,24,420,0.35,0.25,0.03,20,0.6,0.0,4.060937,0.417
10,24,420,0.35,0.35,0.03,20,0.6,0.0,4.060937,0.418
29,24,420,0.45,0.35,0.08,20,0.45,0.0,4.060937,0.421
13,24,420,0.35,0.35,0.08,20,0.45,0.0,4.060937,0.429
5,24,420,0.35,0.25,0.08,20,0.45,0.0,4.060937,0.435
6,24,420,0.35,0.25,0.08,20,0.6,0.0,4.060937,0.435
14,24,420,0.35,0.35,0.08,20,0.6,0.0,4.060937,0.441
21,24,420,0.45,0.25,0.08,20,0.45,0.0,4.060937,0.45
31,24,420,0.45,0.35,0.08,35,0.45,0.0,4.060937,0.501
23,24,420,0.45,0.25,0.08,35,0.45,0.0,4.060937,0.517
49,24,560,0.45,0.25,0.03,20,0.45,0.0,4.060937,0.583
57,24,560,0.45,0.35,0.03,20,0.45,0.0,4.060937,0.609
24,24,420,0.45,0.25,0.08,35,0.6,0.0,4.060937,0.619
61,24,560,0.45,0.35,0.08,20,0.45,0.0,4.060937,0.642
64,24,560,0.45,0.35,0.08,35,0.6,0.0,4.060937,0.642
32,24,420,0.45,0.35,0.08,35,0.6,0.0,4.060937,0.649
73,30,420,0.35,0.35,0.03,20,0.45,0.0,4.060937,0.657
67,30,420,0.35,0.25,0.03,35,0.45,0.0,4.060937,0.662
75,30,420,0.35,0.35,0.03,35,0.45,0.0,4.060937,0.672
53,24,560,0.45,0.25,0.08,20,0.45,0.0,4.060937,0.682
35,24,560,0.35,0.25,0.03,35,0.45,0.0,4.060937,0.69
33,24,560,0.35,0.25,0.03,20,0.45,0.0,4.060937,0.692
76,30,420,0.35,0.35,0.03,35,0.6,0.0,4.060937,0.695
78,30,420,0.35,0.35,0.08,20,0.6,0.0,4.060937,0.7
43,24,560,0.35,0.35,0.03,35,0.45,0.0,4.060937,0.703
70,30,420,0.35,0.25,0.08,20,0.6,0.0,4.060937,0.705
41,24,560,0.35,0.35,0.03,20,0.45,0.0,4.060937,0.715
63,24,560,0.45,0.35,0.08,35,0.45,0.0,4.060937,0.723
62,24,560,0.45,0.35,0.08,20,0.6,0.0,4.060937,0.727
77,30,420,0.35,0.35,0.08,20,0.45,0.0,4.060937,0.728
69,30,420,0.35,0.25,0.08,20,0.45,0.0,4.060937,0.73
74,30,420,0.35,0.35,0.03,20,0.6,0.0,4.060937,0.746
68,30,420,0.35,0.25,0.03,35,0.6,0.0,4.060937,0.748
58,24,560,0.45,0.35,0.03,20,0.6,0.0,4.060937,0.758
39,24,560,0.35,0.25,0.08,35,0.45,0.0,4.060937,0.763
66,30,420,0.35,0.25,0.03,20,0.6,0.0,4.060937,0.763
45,24,560,0.35,0.35,0.08,20,0.45,0.0,4.060937,0.788
89,30,420,0.45,0.35,0.03,20,0.45,0.0,4.060937,0.789
37,24,560,0.35,0.25,0.08,20,0.45,0.0,4.060937,0.79
79,30,420,0.35,0.35,0.08,35,0.45,0.0,4.060937,0.79
50,24,560,0.45,0.25,0.03,20,0.6,0.0,4.060937,0.808
71,30,420,0.35,0.25,0.08,35,0.45,0.0,4.060937,0.812
60,24,560,0.45,0.35,0.03,35,0.6,0.0,4.060937,0.839
81,30,420,0.45,0.25,0.03,20,0.45,0.0,4.060937,0.848
52,24,560,0.45,0.25,0.03,35,0.6,0.0,4.060937,0.851
80,30,420,0.35,0.35,0.08,35,0.6,0.0,4.060937,0.855
