n_initial,delta_j,hv,igd,points,elapsed_s
4,0.15,0.106826,0.878597,5,1.9343469142913818
4,0.12,0.106826,0.878597,5,1.9593539237976074
6,0.12,0.106826,0.878597,5,2.052427053451538
6,0.15,0.106826,0.878597,5,2.330237865447998
8,0.12,0.106826,0.878597,5,2.895164966583252
8,0.15,0.106826,0.878597,5,2.9619030952453613
10,0.15,0.106826,0.878597,5,3.358698844909668
10,0.12,0.106826,0.878597,5,3.394965171813965
12,0.15,0.106826,0.878597,5,3.554880142211914
12,0.12,0.106826,0.878597,5,3.6833181381225586
4,0.09,0.106785,0.926123,4,1.6991360187530518
4,0.07,0.106785,0.926123,4,1.7176446914672852
4,0.03,0.106785,0.926123,4,1.7371461391448975
4,0.05,0.106785,0.926123,4,1.7414419651031494
6,0.07,0.106785,0.926123,4,1.845141887664795
6,0.05,0.106785,0.926123,4,1.863415002822876
6,0.03,0.106785,0.926123,4,1.8701820373535156
6,0.09,0.106785,0.926123,4,1.913034200668335
8,0.03,0.106785,0.926123,4,2.4880080223083496
8,0.07,0.106785,0.926123,4,2.492374897003174
8,0.09,0.106785,0.926123,4,2.5002009868621826
8,0.05,0.106785,0.926123,4,2.5191588401794434
10,0.07,0.106785,0.926123,4,3.1087610721588135
10,0.09,0.106785,0.926123,4,3.1653571128845215
10,0.03,0.106785,0.926123,4,3.172412395477295
10,0.05,0.106785,0.926123,4,3.190459966659546
12,0.07,0.106785,0.926123,4,3.26300311088562
12,0.03,0.106785,0.926123,4,3.2877261638641357
12,0.09,0.106785,0.926123,4,3.297136068344116
12,0.05,0.106785,0.926123,4,3.310487985610962
